Student_Id,Class_Id,Student_FirstName,Student_LastName,Student_DoB,Student_Email
PAC_STU_74,PAC_CLASS_6,Adam,Sagar,2001/01/18,Adam.Sagar@partrdigeacademy.org.uk
PAC_STU_75,PAC_CLASS_7,Adam,Keller,2001/01/06,Adam.Keller@partrdigeacademy.org.uk
PAC_STU_76,PAC_CLASS_4,Aaron,Dewalt,2001/01/27,Aaron.Dewalt@partrdigeacademy.org.uk
PAC_STU_77,PAC_CLASS_5,Nathan,Valente,2001/12/15,Nathan.Valente@partrdigeacademy.org.uk
PAC_STU_78,PAC_CLASS_4,Alex,Tisler,2001/06/09,Alex.Tisler@partrdigeacademy.org.uk
PAC_STU_79,PAC_CLASS_2,Ty,Anderson,2001/12/23,Ty.Anderson@partrdigeacademy.org.uk
PAC_STU_80,PAC_CLASS_8,Ty,Lawless,2001/01/25,Ty.Lawless@partrdigeacademy.org.uk
PAC_STU_81,PAC_CLASS_7,Jack,Fletcher,2001/10/04,Jack.Fletcher@partrdigeacademy.org.uk
PAC_STU_82,PAC_CLASS_4,Hank,Pak,2001/10/09,Hank.Pak@partrdigeacademy.org.uk
PAC_STU_83,PAC_CLASS_3,Mark,Trebil,2001/01/08,Mark.Trebil@partrdigeacademy.org.uk
PAC_STU_84,PAC_CLASS_4,Alex,Rogers,2001/10/04,Alex.Rogers@partrdigeacademy.org.uk
PAC_STU_85,PAC_CLASS_6,Hank,Uddin,2001/07/05,Hank.Uddin@partrdigeacademy.org.uk
PAC_STU_86,PAC_CLASS_9,Carl,Lewis,2001/08/24,Carl.Lewis@partrdigeacademy.org.uk
PAC_STU_87,PAC_CLASS_4,John,Sweeney,2001/01/15,John.Sweeney@partrdigeacademy.org.uk
PAC_STU_88,PAC_CLASS_3,Roger,Schmitt,2001/05/26,Roger.Schmitt@partrdigeacademy.org.uk
PAC_STU_89,PAC_CLASS_5,Larry,Knutson,2001/03/13,Larry.Knutson@partrdigeacademy.org.uk
PAC_STU_90,PAC_CLASS_8,Ike,Tapia,2001/07/01,Ike.Tapia@partrdigeacademy.org.uk
PAC_STU_91,PAC_CLASS_6,Frank,Hesch,2001/11/14,Frank.Hesch@partrdigeacademy.org.uk
PAC_STU_92,PAC_CLASS_6,Tim,Cannon,2001/03/06,Tim.Cannon@partrdigeacademy.org.uk
PAC_STU_93,PAC_CLASS_9,Matthew,Aikin,2001/12/07,Matthew.Aikin@partrdigeacademy.org.uk
PAC_STU_94,PAC_CLASS_7,Peter,Hesch,2001/05/01,Peter.Hesch@partrdigeacademy.org.uk
PAC_STU_95,PAC_CLASS_5,Adam,Ferro,2001/02/04,Adam.Ferro@partrdigeacademy.org.uk
PAC_STU_96,PAC_CLASS_3,Tim,Ashwoon,2001/03/25,Tim.Ashwoon@partrdigeacademy.org.uk
PAC_STU_97,PAC_CLASS_9,Victor,Keller,2001/10/10,Victor.Keller@partrdigeacademy.org.uk
PAC_STU_98,PAC_CLASS_4,George,Davidson,2001/01/01,George.Davidson@partrdigeacademy.org.uk
PAC_STU_99,PAC_CLASS_3,Paul,Casal,2001/06/13,Paul.Casal@partrdigeacademy.org.uk
